Problem,N,M,Size,NonZeros,Standard,SN,SM,SSize,SNonZeros,PAS_Iterations,PAS_Cost,PAS_Time,PAS_Feasible,PAS_Stop_Reason,Tulip_Iterations,Tulip_Cost,Tulip_Time,Tulip_Feasible,HiGHS_Iterations,HiGHS_Cost,HiGHS_Time,HiGHS_Feasible
lp_scsd6.mat,1350,147,198450,4316,true,1350,147,198450,4316,21,50.50001508375613,0.8921339,true,stop_small_ρ,11,50.49999933437005,0.0084665,true,270,50.50000007826238,0.006459951400756836,true
lp_tuff.mat,628,333,209124,4561,false,662,367,242954,4629,0,Inf,Inf,false,stop_error,100,0.3112405108076386,0.0812663,false,0,Inf,Inf,false
lp_grow7.mat,301,140,42140,2612,false,581,420,244020,3172,13,-5733.9750274242615,2.4296984,false,stop_small_ρ,15,-4.778781181464971e7,0.0124735,false,343,-4.778781181471151e7,0.007836103439331055,false
lp_capri.mat,482,271,130622,1896,false,659,448,295232,2250,0,Inf,Inf,false,stop_error,9,0.19157787496013787,0.0097983,false,0,Inf,Inf,false
lp_agg.mat,615,488,300120,2862,true,615,488,300120,2862,7,-1807.8825325384348,2.7156729,false,stop_small_ρ,18,-3.599176728596854e7,0.0109426,true,368,-3.599176728657651e7,0.00687098503112793,true
lp_scagr25.mat,671,471,316041,1725,true,671,471,316041,1725,196,-1.475013005963348e7,23.822941,true,stop_small_ρ,14,-1.4753433059369097e7,0.0086728,true,348,-1.4753433060768519e7,0.005964756011962891,true
lp_degen2.mat,757,444,336108,4201,true,757,444,336108,4201,0,Inf,Inf,false,stop_error,10,-1435.1779999845276,0.0176366,true,537,-1435.178,0.013492822647094727,true
lp_agg2.mat,758,516,391128,4740,true,758,516,391128,4740,7,-2532.634106211262,3.8080557,false,stop_small_ρ,17,-2.0239252352930922e7,0.031805,true,534,-2.0239252355977103e7,0.011012792587280273,true
lp_agg3.mat,758,516,391128,4756,true,758,516,391128,4756,8,-1932.6213240909615,4.282718,false,stop_small_ρ,16,1.0312115934713194e7,0.0276264,true,563,1.0312115935089225e7,0.01111602783203125,true
lp_stair.mat,614,356,218584,4003,false,790,532,420280,4355,0,Inf,Inf,false,stop_error,10,-5.7185370397290925e-12,0.0087622,false,0,Inf,Inf,false
lp_fffff800.mat,1028,524,538672,6401,true,1028,524,538672,6401,16,6.87948532809952e-6,7.2568433,false,stop_small_ρ,26,555679.5668053179,0.0315155,true,388,555679.5648174962,0.007835149765014648,true
lp_ship04s.mat,1506,402,605412,4400,true,1506,402,605412,4400,15,270214.7315997356,4.6372831,false,stop_small_ρ,16,1.7987146999964213e6,0.0142954,true,278,1.7987147004453926e6,0.005048990249633789,true
lp_scrs8.mat,1275,490,624750,3288,true,1275,490,624750,3288,111,904.3198848214233,28.0695461,true,stop_small_ρ,19,904.2969394564379,0.0232564,true,392,904.2969538007914,0.009026050567626953,true
lp_wood1p.mat,2595,244,633180,70216,true,2595,244,633180,70216,2,0.050000000000000044,2.9333813,false,stop_small_ρ,13,1.4429024118119171,0.3372053,true,138,1.4429024115734148,0.04711604118347168,true
lp_standata.mat,1274,359,457366,3230,false,1405,490,688450,3492,41,1257.6983168603529,14.1010763,false,stop_small_ρ,12,1257.699500052272,0.0109943,true,94,1257.6995,0.004707813262939453,true
lp_standgub.mat,1383,361,499263,3338,false,1514,492,744888,3600,39,1257.6924256676373,14.6142029,false,stop_small_ρ,12,1257.699500052272,0.020923,true,92,1257.6995,0.004854917526245117,true
lp_etamacro.mat,816,400,326400,2537,false,1105,689,761345,3115,62,-755.7132828209758,31.1873678,true,stop_small_ρ,21,-755.7151658284874,0.0276169,true,464,-755.7152333005279,0.009463071823120117,true
lp_scfxm2.mat,1200,660,792000,5469,true,1200,660,792000,5469,66,-280.28974956550724,32.6111881,false,stop_small_ρ,22,36660.26156647722,0.0271776,true,808,36660.26156499881,0.01645803451538086,true
lp_finnis.mat,1064,497,528808,2760,false,1231,664,817384,3094,228,180808.80966753888,94.7656645,false,stop_small_ρ,25,172791.06821869806,0.0263763,true,397,172791.06559561155,0.007489204406738281,true
