Problem,N,M,Size,NonZeros,Standard,SN,SM,SSize,SNonZeros,PAS_Iterations,PAS_Cost,PAS_Time,PAS_Feasible,PAS_Stop_Reason,Tulip_Iterations,Tulip_Cost,Tulip_Time,Tulip_Feasible,HiGHS_Iterations,HiGHS_Cost,HiGHS_Time,HiGHS_Feasible
lp_pilotnov.mat,2446,975,2384850,13331,false,3001,1530,4591530,14441,301,-3095.937579523388,1531.7458441,false,stop_small_ρ,100,-4497.276188218901,0.3804664,true,1863,-4497.2761882188715,0.11227893829345703,true
lp_sctap3.mat,3340,1480,4943200,9734,true,3340,1480,4943200,9734,29,1424.0010608601744,138.9968549,true,stop_gap_reached,11,1423.9999797558103,0.0846567,true,1237,1424.0,0.018388986587524414,true
lp_pilot_ja.mat,2267,940,2130980,14977,false,3023,1696,5127008,16489,1,-5.1496010000000005,1.4127655,false,stop_rank,0,0.0,0.0028733,false,0,Inf,Inf,false
lp_ship12l.mat,5533,1151,6368483,16276,true,5533,1151,6368483,16276,27,1.4702301522027215e6,186.7196137,true,stop_small_ρ,29,1.4701879192446005e6,0.3060814,true,955,1.4701879193292647e6,0.021751880645751953,true
lp_stocfor2.mat,3045,2157,6568065,9357,true,3045,2157,6568065,9357,184,-38588.79961029537,1917.5714693,true,stop_small_ρ,25,-39024.4071852398,0.0628736,true,1701,-39024.408537882045,0.03853297233581543,true
lp_cycle.mat,3371,1903,6415013,21234,false,3455,1987,6865085,21402,1,-16.09111,2.2147054,false,stop_rank,100,-5.225381948430885,0.6766784,false,0,Inf,Inf,false
lp_truss.mat,8806,1000,8806000,27836,true,8806,1000,8806000,27836,13,9.633496853381816,188.4241228,false,stop_small_ρ,21,458815.84700360906,0.1751512,true,18896,458815.84718561673,2.3693079948425293,true
lp_woodw.mat,8418,1098,9242964,37487,true,8418,1098,9242964,37487,1,4.0,139.3708847,false,stop_small_ρ,19,1.3044763436555646,0.120923,true,851,1.3044763330842293,0.05770087242126465,true
lp_bnl2.mat,4486,2324,10425464,14996,true,4486,2324,10425464,14996,293,1811.5854728864792,4703.854186,true,stop_gap_reached,32,1811.2369207142656,0.5278035,true,1336,1811.2365403585454,0.0513148307800293,true
lp_d2q06c.mat,5831,2171,12659101,33081,true,5831,2171,12659101,33081,604,122838.45475286462,11644.7148837,true,stop_small_ρ,49,122784.21287667852,0.8943899,true,6115,122784.21081418928,0.8290340900421143,true
lp_sierra.mat,2735,1227,3355845,8001,false,4771,3263,15567773,12073,208,1.5394593540404888e7,6891.4181892,true,stop_gap_reached,14,1.5394362207226507e7,0.3468285,true,879,1.539436218363193e7,0.020791053771972656,true
