File,Problem,N,M,Size,NonZeros,Standard,SN,SM,SSize,SNonZeros,NBIterations,NBTime,NBFeasible,NBSolved,NAIterations,NATime,NAFeasible,NASolved,NNIterations,NNTime,NNFeasible,NNSolved,MBIterations,MBTime,MBFeasible,MBSolved,MAIterations,MATime,MAFeasible,MASolved,MNIterations,MNTime,MNFeasible,MNSolved,Tulip_Iterations,Tulip_Cost,Tulip_Time,Tulip_Feasible,HiGHS_Iterations,HiGHS_Cost,HiGHS_Time,HiGHS_Feasible
problems\lp_scrs8.mat,lp_scrs8.mat,1275,490,624750,3288,true,1275,490,624750,3288,44,0.2229287,true,true,44,0.1746831,true,true,44,0.0342724,true,true,28,0.1392969,true,true,28,0.1115143,true,true,28,0.0220734,true,true,19,904.2969395,0.0314157,true,392,904.2969538,0.009392023,true
problems\lp_wood1p.mat,lp_wood1p.mat,2595,244,633180,70216,true,2595,244,633180,70216,37,3.6245899,true,true,37,1.2250765,true,true,0,Inf,false,false,0,Inf,false,false,0,Inf,false,false,0,Inf,false,false,13,1.442902412,0.3388799,true,138,1.442902412,0.047896624,true
problems\lp_standata.mat,lp_standata.mat,1274,359,457366,3230,false,1405,490,688450,3492,37,0.2452341,true,true,37,0.1768146,true,true,35,0.0252634,true,true,21,0.136207,true,true,21,0.0977576,true,true,21,0.0180972,true,true,12,1257.6995,0.0103207,true,94,1257.6995,0.005063772,true
problems\lp_standgub.mat,lp_standgub.mat,1383,361,499263,3338,false,1514,492,744888,3600,40,0.2744605,true,true,35,0.1829971,true,true,34,0.0392767,true,true,21,0.1507364,true,true,21,0.1134147,true,true,21,0.0283634,true,true,12,1257.6995,0.0271497,true,92,1257.6995,0.005047798,true
problems\lp_etamacro.mat,lp_etamacro.mat,816,400,326400,2537,false,1105,689,761345,3115,48,0.3842873,true,true,59,0.3735201,true,true,48,0.0886158,true,true,32,0.2504321,true,true,35,0.2252072,true,true,32,0.0600107,true,true,21,-755.7151658,0.0330215,true,464,-755.7152333,0.009759188,true
problems\lp_scfxm2.mat,lp_scfxm2.mat,1200,660,792000,5469,true,1200,660,792000,5469,97,0.7324716,true,true,0,Inf,false,false,0,Inf,false,false,0,Inf,false,false,0,Inf,false,false,0,Inf,false,false,22,36660.26157,0.0320817,true,808,36660.26156,0.017084122,true
problems\lp_finnis.mat,lp_finnis.mat,1064,497,528808,2760,false,1231,664,817384,3094,86,0.5079481,true,true,86,0.421055,true,true,0,Inf,false,false,0,Inf,false,false,0,Inf,false,false,0,Inf,false,false,25,172791.0682,0.0305512,true,397,172791.0656,0.007609129,true
problems\lp_standmps.mat,lp_standmps.mat,1274,467,594958,3878,false,1405,598,840190,4140,47,0.4182177,true,true,47,0.4076964,true,true,45,0.0464307,true,true,30,0.2664418,true,true,30,0.2708535,true,true,30,0.0293468,true,true,15,1406.0175,0.0194978,true,221,1406.0175,0.007188082,true
problems\lp_ship04l.mat,lp_ship04l.mat,2166,402,870732,6380,true,2166,402,870732,6380,115,1.3477778,true,true,128,1.04967,true,true,0,Inf,false,false,0,Inf,false,false,0,Inf,false,false,0,Inf,false,false,14,1.79E+06,0.0264684,true,382,1.79E+06,0.007310152,true
problems\lp_bnl1.mat,lp_bnl1.mat,1586,643,1019798,5532,true,1586,643,1019798,5532,65,0.8490362,true,true,0,Inf,false,false,0,Inf,false,false,0,Inf,false,false,0,Inf,false,false,0,Inf,false,false,29,1977.62961,0.0450002,true,842,1977.629562,0.023251057,true
problems\lp_scsd8.mat,lp_scsd8.mat,2750,397,1091750,8584,true,2750,397,1091750,8584,24,0.3680954,true,true,24,0.2319359,true,true,24,0.0275146,true,true,17,0.2520695,true,true,17,0.1484144,true,true,17,0.0175282,true,true,11,904.9999998,0.0666206,true,1054,904.9999999,0.035278082,true
problems\lp_modszk1.mat,lp_modszk1.mat,1620,687,1112940,3168,false,1622,689,1117558,3172,232,1.5700737,true,true,239,1.3195002,true,true,0,Inf,false,false,0,Inf,false,false,0,Inf,false,false,0,Inf,false,false,22,109301.461,0.0288213,true,0,Inf,Inf,false
problems\lp_grow15.mat,lp_grow15.mat,645,300,193500,5620,false,1245,900,1120500,6820,511,4.4447628,true,true,0,Inf,false,false,0,Inf,false,false,0,Inf,false,false,0,Inf,false,false,0,Inf,false,false,15,-1.07E+08,0.0267398,false,1198,-1.07E+08,0.036164999,false
problems\lp_pilot4.mat,lp_pilot4.mat,1123,410,460430,5264,false,1488,775,1153200,5994,217,2.3391174,true,true,218,2.0779415,true,true,217,0.6316036,true,true,0,Inf,false,false,0,Inf,false,false,0,Inf,false,false,0,0,0.001039,false,0,Inf,Inf,false
problems\lp_gfrd_pnc.mat,lp_gfrd_pnc.mat,1160,616,714560,2445,false,1420,876,1243920,2965,339,2.7054554,true,true,339,1.7499433,true,true,0,Inf,false,false,0,Inf,false,false,0,Inf,false,false,0,Inf,false,false,15,6.90E+06,0.0198689,true,297,6.90E+06,0.007406235,true
problems\lp_qap8.mat,lp_qap8.mat,1632,912,1488384,7296,true,1632,912,1488384,7296,23,1.5115994,true,true,23,1.4663523,true,true,22,0.4602611,true,true,15,1.1618692,true,true,15,1.0633686,true,true,15,0.4119356,true,true,9,203.4999997,0.261569,true,7152,203.5,0.509348869,true
problems\lp_25fv47.mat,lp_25fv47.mat,1876,821,1540196,10705,true,1876,821,1540196,10705,65,2.3995766,true,true,61,2.1284258,true,true,0,Inf,false,false,0,Inf,false,false,0,Inf,false,false,0,Inf,false,false,23,5501.845966,0.3487058,true,2944,5501.845888,0.149320841,true
problems\lp_scfxm3.mat,lp_scfxm3.mat,1800,990,1782000,8206,true,1800,990,1782000,8206,99,1.3247905,true,true,0,Inf,false,false,0,Inf,false,false,0,Inf,false,false,0,Inf,false,false,0,Inf,false,false,21,54901.2546,0.3133279,true,1253,54901.25455,0.02764225,true
problems\lp_maros.mat,lp_maros.mat,1966,846,1663236,10137,false,2029,909,1844361,10263,386,8.0453478,true,true,0,Inf,false,false,0,Inf,false,false,0,Inf,false,false,0,Inf,false,false,0,Inf,false,false,100,-58028.8828,0.4121177,true,1374,-58063.7437,0.043562889,true
problems\lp_ship08s.mat,lp_ship08s.mat,2467,778,1919326,7194,true,2467,778,1919326,7194,137,1.6811232,true,true,125,1.11137,true,true,0,Inf,false,false,0,Inf,false,false,0,Inf,false,false,0,Inf,false,false,18,1.92E+06,0.0284128,true,371,1.92E+06,0.008853912,true
problems\lp_perold.mat,lp_perold.mat,1506,625,941250,6148,false,1935,1054,2039490,7006,196,3.6072289,true,true,0,Inf,false,false,0,Inf,false,false,0,Inf,false,false,0,Inf,false,false,0,Inf,false,false,0,0,0.0013852,false,0,Inf,Inf,false
problems\lp_fit1p.mat,lp_fit1p.mat,1677,627,1051479,9868,false,2076,1026,2129976,10666,42,0.5068189,true,true,42,0.3045045,true,true,42,1.5355111,true,true,23,0.2999162,true,true,23,0.1739155,true,true,23,0.7793419,true,true,13,9146.378121,0.0290959,true,860,9146.378092,0.037667751,true
problems\lp_fit1d.mat,lp_fit1d.mat,1049,24,25176,13427,false,2075,1050,2178750,15479,45,0.6711569,true,true,45,0.4594085,true,true,45,0.1169932,true,true,26,0.3817893,true,true,26,0.2508262,true,true,26,0.0583161,true,true,25,-9146.378087,0.0446623,false,69,-9146.378092,0.011137009,false
problems\lp_grow22.mat,lp_grow22.mat,946,440,416240,8252,false,1826,1320,2410320,10012,941,12.9964387,true,true,934,10.781157,true,true,936,3.11358,true,true,231,3.120061,true,true,239,2.7730315,true,true,238,0.6694546,true,true,15,-1.61E+08,0.0344424,false,1934,-1.61E+08,0.071630239,false
problems\lp_d6cube.mat,lp_d6cube.mat,6184,415,2566360,37704,false,6185,416,2572960,37706,52,10.1180564,true,true,51,4.8548071,true,true,0,Inf,false,false,0,Inf,false,false,0,Inf,false,false,0,Inf,false,false,17,315.4916667,0.1731381,true,433,315.4916667,0.087042093,true
problems\lp_sctap2.mat,lp_sctap2.mat,2500,1090,2725000,7334,true,2500,1090,2725000,7334,31,0.4679128,true,true,31,0.3606599,true,true,31,0.0585213,true,true,21,0.3186676,true,true,21,0.276454,true,true,21,0.0454019,true,true,12,1724.807139,0.0264879,true,912,1724.807143,0.016340256,true
problems\lp_shell.mat,lp_shell.mat,1777,536,952472,3558,false,2403,1162,2792286,4810,235,3.6449099,true,true,255,3.5933721,true,true,0,Inf,false,false,0,Inf,false,false,0,Inf,false,false,0,Inf,false,false,20,1.21E+09,0.0362479,true,345,1.21E+09,0.010053158,true
problems\lp_ship12s.mat,lp_ship12s.mat,2869,1151,3302219,8284,true,2869,1151,3302219,8284,109,1.5309461,true,true,115,0.989203,true,true,0,Inf,false,false,0,Inf,false,false,0,Inf,false,false,0,Inf,false,false,20,1.49E+06,0.0714749,true,498,1.49E+06,0.010143042,true
problems\lp_ship08l.mat,lp_ship08l.mat,4363,778,3394414,12882,true,4363,778,3394414,12882,166,4.7521721,true,true,168,3.1911276,true,true,0,Inf,false,false,0,Inf,false,false,0,Inf,false,false,0,Inf,false,false,21,1.91E+06,0.3136099,true,687,1.91E+06,0.015979052,true
problems\lp_ganges.mat,lp_ganges.mat,1706,1309,2233154,6937,false,2110,1713,3614430,7745,413,5.0561798,true,true,0,Inf,false,false,0,Inf,false,false,0,Inf,false,false,0,Inf,false,false,0,Inf,false,false,17,-109585.7333,0.0402277,true,517,-109585.7361,0.010383844,true
problems\lp_degen3.mat,lp_degen3.mat,2604,1503,3913812,25432,true,2604,1503,3913812,25432,41,3.3055393,true,true,0,Inf,false,false,0,Inf,false,false,0,Inf,false,false,0,Inf,false,false,0,Inf,false,false,12,-987.2939967,0.1540646,true,2486,-987.294,0.17640996,true
problems\lp_pilot_we.mat,lp_pilot_we.mat,2928,722,2114016,9265,false,3408,1202,4096416,10225,709,14.1171426,true,true,722,11.2391133,true,true,0,Inf,false,false,0,Inf,false,false,0,Inf,false,false,0,Inf,false,false,0,0,0.0021774,false,0,Inf,Inf,false
problems\lp_czprob.mat,lp_czprob.mat,3562,929,3309098,10708,false,3791,1158,4389978,11166,109,5.6037122,true,true,109,3.944963,true,true,109,0.2457878,true,true,46,2.4001587,true,true,46,1.6185515,true,true,46,0.0983107,true,true,26,2.19E+06,0.0596081,true,733,2.19E+06,0.024646997,true
problems\lp_pilotnov.mat,lp_pilotnov.mat,2446,975,2384850,13331,false,3001,1530,4591530,14441,135,5.4247644,true,true,0,Inf,false,false,0,Inf,false,false,0,Inf,false,false,0,Inf,false,false,0,Inf,false,false,100,-4497.276188,0.3804664,true,1863,-4497.276188,0.112278938,true
problems\lp_sctap3.mat,lp_sctap3.mat,3340,1480,4943200,9734,true,3340,1480,4943200,9734,33,0.5991345,true,true,33,0.4529635,true,true,33,0.0652461,true,true,21,0.3675762,true,true,21,0.2892288,true,true,21,0.0590568,true,true,11,1423.99998,0.0846567,true,1237,1424,0.018388987,true
problems\lp_pilot_ja.mat,lp_pilot_ja.mat,2267,940,2130980,14977,false,3023,1696,5127008,16489,414,19.5518999,true,true,0,Inf,false,false,0,Inf,false,false,0,Inf,false,false,0,Inf,false,false,0,Inf,false,false,0,0,0.0028733,false,0,Inf,Inf,false
problems\lp_ship12l.mat,lp_ship12l.mat,5533,1151,6368483,16276,true,5533,1151,6368483,16276,135,3.9427656,true,true,138,2.646657,true,true,0,Inf,false,false,0,Inf,false,false,0,Inf,false,false,0,Inf,false,false,29,1.47E+06,0.3060814,true,955,1.47E+06,0.021751881,true
problems\lp_stocfor2.mat,lp_stocfor2.mat,3045,2157,6568065,9357,true,3045,2157,6568065,9357,81,1.1901082,true,true,81,0.8788221,true,true,0,Inf,false,false,0,Inf,false,false,0,Inf,false,false,0,Inf,false,false,25,-39024.40719,0.0628736,true,1701,-39024.40854,0.038532972,true
problems\lp_cycle.mat,lp_cycle.mat,3371,1903,6415013,21234,false,3455,1987,6865085,21402,0,Inf,false,false,0,Inf,false,false,0,Inf,false,false,0,Inf,false,false,0,Inf,false,false,0,Inf,false,false,100,-5.225381948,0.6766784,false,0,Inf,Inf,false
problems\lp_truss.mat,lp_truss.mat,8806,1000,8806000,27836,true,8806,1000,8806000,27836,45,3.8418419,true,true,45,3.0880538,true,true,0,Inf,false,false,0,Inf,false,false,0,Inf,false,false,0,Inf,false,false,21,458815.847,0.1751512,true,18896,458815.8472,2.369307995,true
